Senator,State,State Electors,State Female Electors,State Male Electors,Female Share,Male Share,Active Participants,Share of National Participants,Participants as % of State Electors,Average Committed Support,Average Payments,Estimated Annual Funding Flow,Autism,Intellectual Disability,Psychosocial Disability,First Nations,CALD,0-14 Years,15+ Years,Major Cities (MMM1),Inner Regional (MMM2),Outer Regional (MMM3),Medium Rural (MMM4),Small Rural (MMM5),Remote (MMM6),Very Remote (MMM7),Active Providers,Participants Per Provider,State Share of National Providers,Participants,Average Support,Total Annual Committed Supports,1% Funding Reduction,5% Funding Reduction,10% Funding Reduction
Senator Dorinda Cox,WA,1915161,970204,943203,0.5065914,0.4924928,69231,0.08939307074901609,3.614891907260017,45389.16,32422.52,3142336829.3,31110,8546,5717,5791,5194,26745,42486,54586,3656,4147,789,2925,2008,1129,32652,2.12,0.1007659595479543,69231,45389.16,3142336829.3,31423368.293,157116841.465,314233682.93
Senator Varun Ghosh,WA,1915161,970204,943203,0.5065914,0.4924928,69231,0.08939307074901609,3.614891907260017,45389.16,32422.52,3142336829.3,31110,8546,5717,5791,5194,26745,42486,54586,3656,4147,789,2925,2008,1129,32652,2.12,0.1007659595479543,69231,45389.16,3142336829.3,31423368.293,157116841.465,314233682.93
Senator the Hon Susan Lines,WA,1915161,970204,943203,0.5065914,0.4924928,69231,0.08939307074901609,3.614891907260017,45389.16,32422.52,3142336829.3,31110,8546,5717,5791,5194,26745,42486,54586,3656,4147,789,2925,2008,1129,32652,2.12,0.1007659595479543,69231,45389.16,3142336829.3,31423368.293,157116841.465,314233682.93
Senator Matthew O'Sullivan,WA,1915161,970204,943203,0.5065914,0.4924928,69231,0.08939307074901609,3.614891907260017,45389.16,32422.52,3142336829.3,31110,8546,5717,5791,5194,26745,42486,54586,3656,4147,789,2925,2008,1129,32652,2.12,0.1007659595479543,69231,45389.16,3142336829.3,31423368.293,157116841.465,314233682.93
Senator Fatima Payman,WA,1915161,970204,943203,0.5065914,0.4924928,69231,0.08939307074901609,3.614891907260017,45389.16,32422.52,3142336829.3,31110,8546,5717,5791,5194,26745,42486,54586,3656,4147,789,2925,2008,1129,32652,2.12,0.1007659595479543,69231,45389.16,3142336829.3,31423368.293,157116841.465,314233682.93
Senator Dean Smith,WA,1915161,970204,943203,0.5065914,0.4924928,69231,0.08939307074901609,3.614891907260017,45389.16,32422.52,3142336829.3,31110,8546,5717,5791,5194,26745,42486,54586,3656,4147,789,2925,2008,1129,32652,2.12,0.1007659595479543,69231,45389.16,3142336829.3,31423368.293,157116841.465,314233682.93
Senator Jordon Steele-John,WA,1915161,970204,943203,0.5065914,0.4924928,69231,0.08939307074901609,3.614891907260017,45389.16,32422.52,3142336829.3,31110,8546,5717,5791,5194,26745,42486,54586,3656,4147,789,2925,2008,1129,32652,2.12,0.1007659595479543,69231,45389.16,3142336829.3,31423368.293,157116841.465,314233682.93
Senator Glenn Sterle,WA,1915161,970204,943203,0.5065914,0.4924928,69231,0.08939307074901609,3.614891907260017,45389.16,32422.52,3142336829.3,31110,8546,5717,5791,5194,26745,42486,54586,3656,4147,789,2925,2008,1129,32652,2.12,0.1007659595479543,69231,45389.16,3142336829.3,31423368.293,157116841.465,314233682.93
Senator Ellie Whiteaker,WA,1915161,970204,943203,0.5065914,0.4924928,69231,0.08939307074901609,3.614891907260017,45389.16,32422.52,3142336829.3,31110,8546,5717,5791,5194,26745,42486,54586,3656,4147,789,2925,2008,1129,32652,2.12,0.1007659595479543,69231,45389.16,3142336829.3,31423368.293,157116841.465,314233682.93
Senator Tyron Whitten,WA,1915161,970204,943203,0.5065914,0.4924928,69231,0.08939307074901609,3.614891907260017,45389.16,32422.52,3142336829.3,31110,8546,5717,5791,5194,26745,42486,54586,3656,4147,789,2925,2008,1129,32652,2.12,0.1007659595479543,69231,45389.16,3142336829.3,31423368.293,157116841.465,314233682.93
